,loss,mse,val_loss,val_mse
Shallow neural net,"[0.2531571686267853, 0.20801888406276703, 0.20575055480003357, 0.204576775431633, 0.2044404298067093, 0.2042786329984665, 0.20419268310070038, 0.20409220457077026, 0.20386265218257904, 0.2039017528295517, 0.20383483171463013, 0.20388127863407135, 0.20381605625152588, 0.2037617713212967, 0.20388182997703552, 0.20384036004543304, 0.20376501977443695, 0.2037286013364792, 0.20373360812664032, 0.2037452608346939, 0.20373296737670898, 0.20380176603794098, 0.20371465384960175, 0.20369282364845276, 0.2038414180278778]","[0.2531571686267853, 0.20801888406276703, 0.20575055480003357, 0.204576775431633, 0.2044404298067093, 0.2042786329984665, 0.20419268310070038, 0.20409220457077026, 0.20386265218257904, 0.2039017528295517, 0.20383483171463013, 0.20388127863407135, 0.20381605625152588, 0.2037617713212967, 0.20388182997703552, 0.20384036004543304, 0.20376501977443695, 0.2037286013364792, 0.20373360812664032, 0.2037452608346939, 0.20373296737670898, 0.20380176603794098, 0.20371465384960175, 0.20369282364845276, 0.2038414180278778]","[0.19490736722946167, 0.19591180980205536, 0.19387203454971313, 0.1964232474565506, 0.19617187976837158, 0.19863316416740417, 0.203874409198761, 0.20397627353668213, 0.19210825860500336, 0.19471204280853271, 0.19309577345848083, 0.1928471028804779, 0.19767481088638306, 0.19337937235832214, 0.19956177473068237, 0.19525952637195587, 0.2221640646457672, 0.19483643770217896, 0.19655267894268036, 0.19514961540699005, 0.19345808029174805, 0.1932794749736786, 0.1989862471818924, 0.2016187459230423, 0.1943618357181549]","[0.19490736722946167, 0.19591180980205536, 0.19387203454971313, 0.1964232474565506, 0.19617187976837158, 0.19863316416740417, 0.203874409198761, 0.20397627353668213, 0.19210825860500336, 0.19471204280853271, 0.19309577345848083, 0.1928471028804779, 0.19767481088638306, 0.19337937235832214, 0.19956177473068237, 0.19525952637195587, 0.2221640646457672, 0.19483643770217896, 0.19655267894268036, 0.19514961540699005, 0.19345808029174805, 0.1932794749736786, 0.1989862471818924, 0.2016187459230423, 0.1943618357181549]"
Deep neural net,"[0.21635779738426208, 0.20749415457248688, 0.20767629146575928, 0.20697779953479767, 0.207808256149292, 0.20673128962516785, 0.20698918402194977, 0.20601747930049896, 0.20509009063243866, 0.2047492414712906, 0.2044663429260254, 0.20547255873680115, 0.20448605716228485, 0.2045729160308838, 0.20503973960876465, 0.20480908453464508, 0.20468689501285553, 0.20446611940860748, 0.20457492768764496, 0.20434311032295227, 0.2041909545660019, 0.2043205350637436, 0.20428170263767242, 0.20434026420116425, 0.2044568508863449]","[0.21635779738426208, 0.20749415457248688, 0.20767629146575928, 0.20697779953479767, 0.207808256149292, 0.20673128962516785, 0.20698918402194977, 0.20601747930049896, 0.20509009063243866, 0.2047492414712906, 0.2044663429260254, 0.20547255873680115, 0.20448605716228485, 0.2045729160308838, 0.20503973960876465, 0.20480908453464508, 0.20468689501285553, 0.20446611940860748, 0.20457492768764496, 0.20434311032295227, 0.2041909545660019, 0.2043205350637436, 0.20428170263767242, 0.20434026420116425, 0.2044568508863449]","[0.2031484842300415, 0.20797617733478546, 0.2050250917673111, 17.196544647216797, 0.32718753814697266, 0.19768527150154114, 0.1882665753364563, 0.20258395373821259, 0.28983786702156067, 0.19179745018482208, 0.19195257127285004, 0.20315812528133392, 0.2491428256034851, 0.8174631595611572, 0.19755613803863525, 0.1849910467863083, 0.18610838055610657, 0.19084446132183075, 0.22436396777629852, 0.19088926911354065, 0.1971474438905716, 0.21188931167125702, 1.2164714336395264, 0.5442971587181091, 0.3977515399456024]","[0.2031484842300415, 0.20797617733478546, 0.2050250917673111, 17.196544647216797, 0.32718753814697266, 0.19768527150154114, 0.1882665753364563, 0.20258395373821259, 0.28983786702156067, 0.19179745018482208, 0.19195257127285004, 0.20315812528133392, 0.2491428256034851, 0.8174631595611572, 0.19755613803863525, 0.1849910467863083, 0.18610838055610657, 0.19084446132183075, 0.22436396777629852, 0.19088926911354065, 0.1971474438905716, 0.21188931167125702, 1.2164714336395264, 0.5442971587181091, 0.3977515399456024]"
Deep neural net (tuned),"[0.21426603198051453, 0.1499139964580536, 0.14437665045261383, 0.14106135070323944, 0.13879044353961945, 0.13706792891025543, 0.13575570285320282, 0.13476207852363586, 0.1338387429714203, 0.1331922709941864, 0.1326255351305008, 0.1320435255765915, 0.13157027959823608, 0.13112986087799072, 0.13073426485061646, 0.13039690256118774, 0.1300882250070572, 0.12979242205619812, 0.12948866188526154, 0.12925592064857483, 0.12904423475265503, 0.12883612513542175, 0.12859506905078888, 0.12840679287910461, 0.12826260924339294]","[0.21426603198051453, 0.1499139964580536, 0.14437665045261383, 0.14106135070323944, 0.13879044353961945, 0.13706792891025543, 0.13575570285320282, 0.13476207852363586, 0.1338387429714203, 0.1331922709941864, 0.1326255351305008, 0.1320435255765915, 0.13157027959823608, 0.13112986087799072, 0.13073426485061646, 0.13039690256118774, 0.1300882250070572, 0.12979242205619812, 0.12948866188526154, 0.12925592064857483, 0.12904423475265503, 0.12883612513542175, 0.12859506905078888, 0.12840679287910461, 0.12826260924339294]","[0.14808611571788788, 0.1373293101787567, 0.13506968319416046, 0.1319621056318283, 0.12992997467517853, 0.12868139147758484, 0.12981237471103668, 0.127772718667984, 0.1262025535106659, 0.13124173879623413, 0.12621445953845978, 0.12462945282459259, 0.12696769833564758, 0.12387765198945999, 0.12429852038621902, 0.1235227882862091, 0.12263348698616028, 0.12347326427698135, 0.12381663918495178, 0.12247258424758911, 0.12227535247802734, 0.12208593636751175, 0.12251459807157516, 0.1227148175239563, 0.12192317098379135]","[0.14808611571788788, 0.1373293101787567, 0.13506968319416046, 0.1319621056318283, 0.12992997467517853, 0.12868139147758484, 0.12981237471103668, 0.127772718667984, 0.1262025535106659, 0.13124173879623413, 0.12621445953845978, 0.12462945282459259, 0.12696769833564758, 0.12387765198945999, 0.12429852038621902, 0.1235227882862091, 0.12263348698616028, 0.12347326427698135, 0.12381663918495178, 0.12247258424758911, 0.12227535247802734, 0.12208593636751175, 0.12251459807157516, 0.1227148175239563, 0.12192317098379135]"
