,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
coastline_dist,1.304856,1.304856,1.304856,1.232684,1.4755205,1.4417259,1.4115961,1.4115961,1.4115961,1.4115961,1.4115961,1.1777353,1.2167372,3.9113317,4.729747,4.729747,1.4156355,1.0213774,1.9858742,2.151318,1.8253945,1.4454074,1.6782037,1.2082675,1.4598526,1.5704857,1.2531902,1.0,1.0,0.4860449,0.4930489,0.3748853,0.32147828,0.4554502,0.43851125,0.90091056,0.8047821,0.7936493,1.8093543,1.1595787,0.79004365,0.7194492,0.45025757,1.8641198,1.242313,9.4530115,26.321127,19.50417,2.1033225,0.7054596,0.51990646,1.0,1.0,0.13749403,7.3175173,1.0,10.853766,1.7140485,2.2998362,1.7955352,1.7955352,1.9012058,1.3445196,1.4706677,0.6552387,0.54890144,0.39243722,0.24273399,0.3902307,0.39295834,0.393174,0.37461266,0.36731726,1.0,1.0,1.0,1.0,27.579865,51.147194,12.559583,1.4458704,0.97151756,0.6380199,0.43545264,0.4210568,0.9058151,0.69164455,0.71850204,0.6668175,1.204717,1.0352921,0.7351734,0.53810424,0.5057749,0.6849696,1.0804005,1.4323937,1.4323937,1.5208799,1.2849382,0.19199635
nat_park_dist,0.8535424,0.90781236,0.808228,0.808228,0.9642275,0.9736464,1.1165686,1.1518086,1.1099381,1.1099381,1.0210906,1.2695881,1.5089911,1.2549877,2.4282482,0.50128573,0.7560674,0.95805424,0.8224642,6.3303056,9.896985,6.956686,1.3231896,0.984696,1.1353202,1.1695243,1.6771317,1.5128624,1.3161383,1.3552713,1.3103218,1.472044,3.4846623,1.4972777,4.5451007,2.3160105,1.882821,1.0,7.725701,1.0416327,1.3016481,0.36185467,0.87506825,1.0,0.14378335,0.35376152,2.4399939,3.9530075,1.0,1.0,5.156122,3.5095665,3.104775,0.46038994,1.1519154,3.632748,2.2142084,1.299573,0.13988991,0.7135742,1.9055074,0.4742042,0.43467703,1.0,1.0,0.38155103,0.332485,0.40536273,0.79159963,0.6090182,0.41158137,0.81093925,1.1188494,1.7058654,0.93969184,0.5014227,1.2725766,0.7771606,1.5389,1.1960759,1.7576537,1.1242133,0.9347333,0.7533029,0.24891528,0.6324791,0.2008137,0.43692797,0.48654512,0.9495609,1.17958,1.1561213,1.6549419,0.99954295,0.8858324,0.75154203,0.7616838,0.8817995,0.9161463,0.93167347,1.0861019
nat_trust_dist,0.65760154,0.7715778,0.37804002,0.5736723,1.0,1.0,1.0,1.0,0.31804195,0.69006175,0.9050361,0.7907196,6.473815,1.0,1.0,1.0,2.4194884,1.4012723,7.1274014,12.393375,12.393375,0.29055572,0.6847061,0.5015051,5.1654677,3.1355274,2.4930882,0.5916975,0.9082063,0.87180084,0.97536993,1.0219101,5.7669206,1.7596486,0.013695715,0.015309792,0.34076533,0.29144818,0.5739962,0.5739962,0.5739962,0.41308257,0.61876285,1.0382088,0.244154,0.5684975,0.97407186,1.1140796,1.2247976,1.0202241,1.3233466,1.6554564,1.1542552,0.7368963,0.7368963,0.4652713,1.0640458,1.0182631,1.0,1.0,1.0,1.0,1.0,2.155544,1.5474187,1.15996,1.6478492,1.68778,0.896199,1.0157412,0.6738236,0.32449925,1.0,1.0,1.0,1.0,1.1714311,0.86678386,0.41951787,0.41013968,0.8860798,0.5418187,2.1325567,3.2735474,0.49179578,0.25957963,0.34337,0.8460564,1.1790196,0.6385928,0.23354778,0.33945048,1.0173173,1.0852966,1.1811309,0.5969039,0.6840267,0.9261317,1.0426908,1.0098552,1.0404409
greenspace_share,0.8809389,0.9070354,1.1711473,0.9248768,1.1015917,1.159056,1.0068356,1.0068356,0.85860085,1.0581478,1.0581478,0.88369334,0.88369334,0.90872633,1.1332874,1.475043,1.5360568,1.5872878,2.3173556,2.3173556,1.8488045,1.9453961,1.568391,1.568391,1.511279,1.511279,1.2584441,1.2584441,1.2753903,1.2753903,1.2753903,1.4116569,1.4116569,1.3592491,1.2339879,1.1685939,1.1685939,1.3170346,1.330857,1.330857,1.330857,1.3446223,1.3446223,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1543784,1.1490871,1.2291883,1.2291883,0.7778477,0.6643907,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.53062534,0.53062534,1.202341,1.9220773,0.6151096,0.82924217,0.82924217,0.8820277,0.7115307,0.77151126,0.67243993,0.77036846,1.0550392,1.1440772,1.259145,1.367317,1.3072486,1.4260606,1.4260606,1.3261958,1.2043092,1.1356052,1.1356052,1.1356052,1.1381221,1.1310202,1.1310202,1.1023992,1.1023992,1.1023992,1.1023992,1.0083017,1.0083017,1.3280905,1.2543122,0.9809005,0.9809005,1.1092973
water_share,0.5316625,0.5316625,0.5316625,0.5316625,0.5316625,0.5316625,0.5316625,0.5316625,0.5316625,0.5316625,0.5316625,0.5316625,0.5316625,0.5316625,0.5316625,0.5316625,0.5316625,0.5316625,0.5316625,0.27407202,0.27407202,0.27407202,0.27407202,0.27407202,0.27407202,0.27407202,0.27407202,0.27407202,0.27407202,0.27407202,0.27407202,0.27407202,0.27407202,0.27407202,0.23462845,0.23462845,0.23462845,0.23462845,0.23462845,0.23462845,0.23462845,0.23462845,0.23462845,0.23462845,0.23462845,0.23462845,0.17778505,0.21928647,0.21928647,0.2868299,0.14180467,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11433294,0.11433294,0.19359252,0.19359252,0.19611213,0.19611213,0.14252758,0.33330083,0.089223295,0.9328084,0.9666202,0.7221777,0.7221777,0.9171326,0.8914221,0.33373046,0.17848031,0.47563192,0.56226385,1.4892145,7.2376933,1.5139254,0.79184127,0.86771685,0.83061624,0.9186648,0.9186648,0.96478593,0.9612114,0.9612114,1.0160214,1.2129408,1.2129408,1.1310649,1.1460284,1.1388773,1.1295494,1.2300812,0.96280295,1.0606056,1.1040499,0.9996536,0.9449858
